"Run Fondo";"run_fondo_largo";"nombre_fondo";"nombre_fm_corto";"vigencia";"estado";"tipo_fondo";"rut_adm";"razon_social_adm";"fecha_deposito";"fecha_ult_modificacion";"fecha_inicio_operaciones";"n_resolucion";"fecha_cumplimiento";"fecha_termino";"numero_registro"
"8824";"8824-2";FONDO MUTUO PRINCIPAL GESTION ESTRATEGICA A;GESTION ESTRATEGICA;Vigente;;"4-FM MIXTO";"91999000-7";PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-10-20;2022-03-31;2011-01-26;Res. 704 (26/01/2011);2011-02-09;;FM110285
"8844";"8844-7";FONDO MUTUO BANCOESTADO PERFIL A;PERFIL A;Vigente;;"6-FM DE LIBRE INVERSION";"96836390-5";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-04-22;2022-12-09;2011-02-14;Res. 710 (14/02/2011);2011-03-01;;FM110317
"8908";"8908-7";FONDO MUTUO SANTANDER PRIVATE BANKING AGRESIVO;BANKING AGRESIVO;Vigente;;"6-FM DE LIBRE INVERSION";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-07-29;2023-11-17;2011-12-22;-;2012-08-10;;FM110539
"8944";"8944-3";FONDO MUTUO BICE TENDENCIAS;BICE TENDENCIAS;No Vigente;;"6-FM DE LIBRE INVERSION";"96514410-2";BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2017-10-11;2021-01-18;2012-08-01;-;2012-08-24;2021-04-30;FM120577
"8993";"8993-1";FONDO MUTUO ITAU GESTIONADO AGRESIVO;G. AGRESIVO;Vigente;;"6-FM DE LIBRE INVERSION";"96980650-9";ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-30;2023-04-18;2013-06-18;-;2013-06-18;;FM130626
"9042";"9042-5";FONDO MUTUO BANCHILE ESTRATEGIA AGRESIVA;ESTRATEGIA AGRESIVA;No Vigente;;"4-FM MIXTO";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-04;2022-11-09;2013-12-20;-;2013-12-20;2023-11-01;FM130675
"9060";"9060-3";FONDO MUTUO BCI CARTERA PATRIMONIAL ACTIVA;FM BCI CP ACTIVA;Vigente;;"6-FM DE LIBRE INVERSION";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2015-07-30;2020-11-02;2014-06-05;-;2014-10-10;;FM140694
"9193";"9193-6";FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA;CTA ACTIVA AGRESIVA;Vigente;;"6-FM DE LIBRE INVERSION";"96955500-K";LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-09-14;2023-03-10;2015-06-05;-;2015-06-05;;FM150934
"9294";"9294-0";FONDO MUTUO BANCHILE INVERSIONES ALTERNATIVAS;INVERSIONES ALTERNAT;Vigente;;"6-FM DE LIBRE INVERSION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-01-21;2022-10-24;2016-03-16;-;2016-03-16;;FM161035
"9428";"9428-5";FONDO MUTUO CONSORCIO DINÁMICO AGRESIVO;FMCODAGRE;Vigente;;"6-FM DE LIBRE INVERSION";"96955500-K";LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-08-26;2023-03-10;2017-06-28;-;2017-07-07;;FM171169
"9473";"9473-0";FONDO MUTUO SURA MULTIACTIVO AGRESIVO;MULTIACTIVO AGRESIVO;Vigente;;"6-FM DE LIBRE INVERSION";"76036521-1";ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2021-12-22;2023-08-25;2017-07-17;-;2017-08-01;;FM171214
"9511";"9511-7";FONDO MUTUO BCI CARTERA DINAMICA CHILE;FM BCI CD CHILE;Vigente;;"6-FM DE LIBRE INVERSION";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-01-11;2023-01-31;2017-09-07;-;2017-09-14;;FM171252
"9576";"9576-1";FONDO MUTUO ZURICH PERFIL AGRESIVO;EA AGRESIVO;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"77750920-9";ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-12-14;2023-03-13;2018-03-08;-;2018-04-26;;FM181318
"9593";"9593-1";FONDO MUTUO PRINCIPAL CARTERA AUDAZ;FONDO CARTERA AUDAZ;Vigente;;"6-FM DE LIBRE INVERSION";"91999000-7";PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-05;2022-03-31;2018-04-10;-;2018-04-25;;FM181335
"9609";"9609-1";FONDO MUTUO FONDO ACTIVO 2045;ACTIVO 2045;Vigente;;"6-FM DE LIBRE INVERSION";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2018-04-26;2018-05-04;2018-04-27;-;2019-12-18;;FM181351
"9610";"9610-5";FONDO MUTUO FONDO ACTIVO 2055;ACTIVO 2055;Vigente;;"6-FM DE LIBRE INVERSION";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2018-04-26;2018-05-04;2018-04-27;-;;;FM181352
"9648";"9648-2";FONDO MUTUO SANTANDER GESTIÓN ACTIVA AGRESIVA;GA AGRESIVA;Vigente;;"6-FM DE LIBRE INVERSION";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-02-17;2023-11-17;2018-09-11;-;2018-11-14;;FM181393
